n_rows,n_cols,n_processes,time
600,600,1,0.001020
1800,1800,1,0.009474
3000,3000,1,0.026977
4200,4200,1,0.051229
5400,5400,1,0.085472
6600,6600,1,0.127010
7800,7800,1,0.176953
9000,9000,1,0.235573
10200,10200,1,0.304453
600,600,2,0.000802
1800,1800,2,0.009373
3000,3000,2,0.023870
4200,4200,2,0.043574
5400,5400,2,0.070970
6600,6600,2,0.105858
7800,7800,2,0.148492
9000,9000,2,0.205125
10200,10200,2,0.255263
600,600,6,0.000594
1800,1800,6,0.007696
3000,3000,6,0.021706
4200,4200,6,0.039224
5400,5400,6,0.064249
6600,6600,6,0.085648
7800,7800,6,0.120469
9000,9000,6,0.165826
10200,10200,6,0.203157
600,600,12,0.005671
1800,1800,12,0.010954
3000,3000,12,0.019608
4200,4200,12,0.039319
5400,5400,12,0.064445
6600,6600,12,0.096069
7800,7800,12,0.137379
9000,9000,12,0.158730
10200,10200,12,0.201654
600,600,24,0.383147
1800,1800,24,0.388405
3000,3000,24,0.381203
4200,4200,24,0.610007
5400,5400,24,0.738812
6600,6600,24,1.047925
7800,7800,24,1.442315
9000,9000,24,1.960609
10200,10200,24,2.265863
