n_rows, n_cols, n_processes, time
120, 60000, 1, 0.021460
240, 60000, 1, 0.044673
360, 60000, 1, 0.064399
480, 60000, 1, 0.084632
600, 60000, 1, 0.105948
720, 60000, 1, 0.126860
840, 60000, 1, 0.147836
960, 60000, 1, 0.168910
1080, 60000, 1, 0.190255
1200, 60000, 1, 0.210851
120, 60000, 2, 0.015859
240, 60000, 2, 0.030163
360, 60000, 2, 0.049624
480, 60000, 2, 0.064597
600, 60000, 2, 0.074729
720, 60000, 2, 0.087719
840, 60000, 2, 0.100248
960, 60000, 2, 0.113533
1080, 60000, 2, 0.128360
1200, 60000, 2, 0.141192
120, 60000, 6, 0.014922
240, 60000, 6, 0.029034
360, 60000, 6, 0.043733
480, 60000, 6, 0.058425
600, 60000, 6, 0.072227
720, 60000, 6, 0.086457
840, 60000, 6, 0.099808
960, 60000, 6, 0.116218
1080, 60000, 6, 0.129245
1200, 60000, 6, 0.145955
120, 60000, 12, 0.016780
240, 60000, 12, 0.036624
360, 60000, 12, 0.056178
480, 60000, 12, 0.077066
600, 60000, 12, 0.091625
720, 60000, 12, 0.112733
840, 60000, 12, 0.132099
960, 60000, 12, 0.153381
1080, 60000, 12, 0.161623
1200, 60000, 12, 0.188004
120, 60000, 24, 0.495367
240, 60000, 24, 0.685293
360, 60000, 24, 0.812286
480, 60000, 24, 1.219501
600, 60000, 24, 0.897162
720, 60000, 24, 0.954631
840, 60000, 24, 1.029437
960, 60000, 24, 1.072639
1080, 60000, 24, 1.303683
1200, 60000, 24, 1.468096
